Date d'arrivée labo,Civilité,Nom,Prénom,Date de naissance,Âge au 1er janvier 2022,Pays d'origine,Catégorie la plus récente,Statut le plus récent
01/10/2017,M,Adam,Antoine,11/09/2000,21,France,NON PERMANENT,Ingénieur
01/01/2007,M,Adam,Honoré,22/09/1975,46,France,PERMANENT,Maître de Conférences Classe Normale
01/10/2007,M,Adam,Thomas,10/08/1997,24,France,NON PERMANENT,Doctorant
01/12/2008,M,Adam-Lecoq,Augustin,26/06/2003,18,France,NON PERMANENT,Post Doctorant
01/06/2012,M,Adam-Louis,Nicolas,26/11/1975,46,Viet Nam,NON PERMANENT,Ingénieur d'Etudes
03/10/2011,Mme,Afsar,Inès,04/11/1984,37,Turquie,NON PERMANENT,Doctorant
01/10/2013,M,Albert,Augustin-Georges,05/02/1993,28,Algérie,NON PERMANENT,Post Doctorant
01/11/2014,Mme,Albert,Constance-Françoise,23/02/1976,45,France,NON PERMANENT,Doctorant
03/12/2012,M,Albert,Daniel,17/07/1959,62,France,NON PERMANENT,Doctorant
01/09/2002,M,Albert,Grégoire,05/04/1998,23,--- Inconnu ---,NON PERMANENT,Doctorant
11/10/2010,M,Alexandre,Frédéric,27/06/1998,23,Maroc,NON PERMANENT,Doctorant
10/02/2020,M,Alexandre,Nicolas,04/05/1973,48,Belgique,NON PERMANENT,Stagiaire
01/10/2009,M,Alexandre,Richard-Rémy,10/06/1983,38,France,NON PERMANENT,Ingénieur
23/05/2008,Mme,Alexandre,Susanne,05/03/1993,28,--- Inconnu ---,ASSOCIE,Maître de Conférences
01/12/2016,M,Alexandre,Xavier,24/08/1973,48,France,NON PERMANENT,Ingénieur d'Etudes
01/10/2004,M,Allain,Henri,09/04/1984,37,--- Inconnu ---,NON PERMANENT,Doctorant
01/04/2011,M,Allard,Augustin,21/04/1966,55,France,NON PERMANENT,Ingénieur
01/11/2020,M,Allard,Grégoire,16/11/1983,38,France,NON PERMANENT,Post Doctorant
01/09/2007,M,Allard,Gérard-Raymond,06/05/1989,32,France,PERMANENT,Chargé de Recherche
01/10/2021,Mme,Allard,Louise,21/07/1979,42,Slovénie,NON PERMANENT,Doctorant
02/11/2020,M,Alves,Antoine,24/12/1996,25,France,NON PERMANENT,Ingénieur
01/10/2014,M,Alves,René,05/02/1958,63,Liban,NON PERMANENT,Doctorant
01/01/2010,Mme,Alves,Zoé-Alex,16/10/1981,40,France,PERMANENT,Maître de Conférences
31/08/2010,M,Andre-Bonneau,Vincent,28/07/1988,33,Argentine,NON PERMANENT,Doctorant
01/10/2020,M,Andre-Thibault,Maurice,28/08/1961,60,France,PERMANENT,ISFP
01/10/2020,Mme,Antoine,Christine,22/10/2001,20,Allemagne,NON PERMANENT,Doctorant
01/03/2014,M,Antoine,Guy,01/08/2003,18,France,NON PERMANENT,Stagiaire
10/02/2010,M,Antoine,Marcel-Grégoire,01/09/2002,19,Algérie,NON PERMANENT,Stagiaire
01/10/2014,M,Arnaud,Augustin,20/11/1997,24,France,PERMANENT,Chargé de Recherche 2ème Classe
01/03/2021,M,Arnaud,Jérôme,18/05/1995,26,France,NON PERMANENT,Stagiaire
01/09/2015,M,Arnaud,Marc,14/09/1970,51,Belgique,NON PERMANENT,Doctorant
01/04/2012,M,Arnaud,Marcel,28/12/1984,37,Argentine,PERMANENT,Ingénieur de Recherche 2ème Classe
27/02/2017,Mme,Aubert,Adélaïde,21/08/1990,31,France,NON PERMANENT,Assistant Ingénieur
